p,B,budget_model,n_baseline,L_baseline,MI_baseline_pred,cost_baseline,n_control,L_control,u_control,MI_control_pred,cost_control,gain_pct
0.001,20,gate,8,2,0.5030235275858187,16.0,8,2,0.25,0.5071196015256869,18.4,0.814290727021591
0.001,20,wallclock,2,6,0.3834850318061091,20.0,2,6,0.0,0.3834850318061091,20.0,0.0
0.001,40,gate,8,5,0.6519365365769481,40.0,8,5,0.0,0.6519365365769481,40.0,0.0
0.001,40,wallclock,4,6,0.513075190901422,40.0,4,6,0.0,0.513075190901422,40.0,0.0
0.001,80,gate,8,10,0.7932257604636294,80.0,8,10,0.0,0.7932257604636294,80.0,0.0
0.001,80,wallclock,8,6,0.686457435584157,80.0,8,6,0.0,0.686457435584157,80.0,0.0
0.001,160,gate,8,12,0.8352281101258492,96.0,8,12,1.0,0.8548057568672603,153.60000000000002,2.343988008073779
0.001,160,wallclock,8,12,0.8352281101258492,128.0,8,12,0.25,0.8420292951760817,147.2,0.8142907270215975
0.005,20,gate,8,2,0.4342273822015444,16.0,8,2,0.25,0.45228453454177703,18.4,4.158455472955758
0.005,20,wallclock,2,6,0.3310376003162865,20.0,2,6,0.0,0.3310376003162865,20.0,0.0
0.005,40,gate,8,5,0.5627742642535802,40.0,8,5,0.0,0.5627742642535802,40.0,0.0
0.005,40,wallclock,4,6,0.4429043271334315,40.0,4,6,0.0,0.4429043271334315,40.0,0.0
0.005,80,gate,8,10,0.6847400301811681,80.0,8,10,0.0,0.6847400301811681,80.0,0.0
0.005,80,wallclock,8,6,0.5925739034058202,80.0,8,6,0.0,0.5925739034058202,80.0,0.0
0.005,160,gate,8,12,0.7209979174169259,96.0,8,12,1.0,0.8098976225491389,153.60000000000002,12.330091805356169
0.005,160,wallclock,8,12,0.7209979174169259,128.0,8,11,0.5,0.756304587613184,156.0,4.896917084413934
0.01,20,gate,8,2,0.36090621241108495,16.0,8,1,2.0,0.4081016058404446,17.6,13.076913559914678
0.01,20,wallclock,2,6,0.275140471082389,20.0,2,6,0.0,0.275140471082389,20.0,0.0
0.01,40,gate,8,5,0.4677473979748305,40.0,8,3,1.0,0.5113115390428234,38.400000000000006,9.313604149720387
0.01,40,wallclock,4,6,0.36811801769795977,40.0,2,11,0.5,0.3778385324165333,39.0,2.6405973767220527
0.01,80,gate,8,10,0.5691187173088837,80.0,8,5,1.5,0.6231327653709698,76.0,9.490822638463758
0.01,80,wallclock,8,6,0.492515239291342,80.0,4,11,0.5,0.5055205837800256,78.0,2.640597376722074
0.01,160,gate,8,12,0.5992543036137838,96.0,8,9,2.0,0.7600093476233678,158.4,26.82584723049227
0.01,160,wallclock,8,12,0.5992543036137838,128.0,8,11,0.5,0.6763499185508575,156.0,12.865258450736356
0.02,20,gate,8,2,0.2483747989603763,16.0,8,1,2.0,0.3883169451970978,17.6,56.343134175640245
0.02,20,wallclock,2,6,0.189351019297812,20.0,2,2,1.0,0.22235440828034736,19.200000000000003,17.429739277308826
0.02,40,gate,8,5,0.32190264933402785,40.0,8,2,2.0,0.47247390945778883,35.2,46.775402574434274
0.02,40,wallclock,4,6,0.25333794624537953,40.0,2,5,2.0,0.34208155473791535,39.6,35.02973392173158
0.02,80,gate,8,10,0.3916661507482535,80.0,8,4,2.0,0.5748695695085398,70.4,46.77540257443431
0.02,80,wallclock,8,6,0.3389478189546162,80.0,4,5,2.0,0.4576803380679307,79.2,35.02973392173158
0.02,160,gate,8,12,0.4124053897323336,96.0,8,9,2.0,0.7231642903795145,158.4,75.35277384441433
0.02,160,wallclock,8,12,0.4124053897323336,128.0,6,8,2.0,0.6198499056672019,158.4,50.301116595374154
