p,B,gain_median,gain_p05,gain_p95,gain_mean,gain_std
0.001,20,0.0,-3.6005595499803245,3.7373537056296984,0.04751215960373838,2.2109438383030993
0.001,40,0.621640611392956,-1.927892771054506,3.151728821663724,0.6051949323511092,1.5435289064261208
0.001,80,1.1774509630072751,-0.6230863001434218,3.0594996835835278,1.2006366703166056,1.119699047479057
0.001,160,5.459939124639041,3.790906603585581,7.155796211440365,5.461986180297529,1.025147085466944
0.005,20,0.0,-3.946197276228822,4.107272010976933,0.0015494622976319785,2.4486253874373585
0.005,40,3.238604078090812,0.1468458539589923,6.458671144674849,3.2619062318458565,1.9351906883853687
0.005,80,14.662361241072757,11.650886298484082,17.803918792625552,14.688094742064306,1.8703897951288362
0.005,160,23.396140819778,20.367399448832085,26.497534740938182,23.412001751612415,1.861191921287544
0.01,20,2.045952098256244,-2.4244921746520847,6.656743184346412,2.062208693561223,2.761056721083392
0.01,40,10.943694033332715,7.017250656526235,14.998241789754452,10.964306301092,2.412720029239495
0.01,80,28.622352121256384,24.492441420645182,32.89654956169688,28.639311111877134,2.56171598136833
0.01,160,40.27822030776002,36.05888420913037,44.68014339248489,40.31948133737474,2.6232937403044088
0.02,20,6.619133419186069,1.488588263823072,12.060126648690991,6.683877462516408,3.2238764327154903
0.02,40,32.034351719578794,26.50333930448978,37.95636424321139,32.11315372896222,3.479112346854228
0.02,80,59.44729702134231,53.19615107980843,65.9409247131747,59.50336558566634,3.8784316679402475
0.02,160,68.5567869085594,62.185032066874626,75.27659862551407,68.60891557863438,3.9816008677234076
