p,B,gain_median_pct,gain_p05_pct,gain_p95_pct,prob_gain_positive
0.001,20.0,0.0,0.0,0.0,0.0
0.001,40.0,0.6024396890836686,0.5286211329360768,0.6755445190764594,1.0
0.001,80.0,1.199345828873827,1.1256536391308156,1.2732348057711413,1.0
0.001,160.0,5.452186874129492,5.183971648856448,5.723505631561162,1.0
0.005,20.0,0.0,0.0,0.0,0.0
0.005,40.0,3.2402650653339995,2.862816130649265,3.6259857053699194,1.0
0.005,80.0,14.674970539740738,13.46788262878116,15.882552244090299,1.0
0.005,160.0,23.3873806055063,21.626385235581463,25.173991609011434,1.0
0.01,20.0,2.0063362126100848,1.2475172062294293,2.7710076927445826,1.0
0.01,40.0,10.931526493755415,8.612578419559416,13.325525539588352,1.0
0.01,80.0,28.57967589498051,24.916053426255793,32.362177302972775,1.0
0.01,160.0,40.28648971645177,36.30156585997543,44.43075910526708,1.0
0.02,20.0,6.644937132997661,5.0293778751480485,8.287201710312845,1.0
0.02,40.0,32.03502095076655,26.489233064551165,37.92523069847958,1.0
0.02,80.0,59.54550267037344,50.38900810431067,69.13566639308661,1.0
0.02,160.0,68.53777561272369,58.91636102024023,78.76272333582969,1.0
