p,B,"Baseline (n,L), I","Controlled (n,L,u), I",Gain (%),Cost used
0.001,20,"(6,3), 0.666","(6,3,0.00), 0.666",0.0,18.0
0.001,40,"(8,4), 0.831","(8,4,0.25), 0.836",0.6,36.8
0.001,80,"(8,8), 0.917","(8,8,0.25), 0.928",1.3,73.6
0.001,160,"(8,8), 0.917","(8,10,1.50), 0.967",5.5,152.0
0.005,20,"(6,3), 0.611","(6,3,0.00), 0.611",0.0,18.0
0.005,40,"(8,4), 0.740","(8,4,0.25), 0.764",3.3,36.8
0.005,80,"(8,6), 0.757","(8,6,1.00), 0.868",14.7,76.8
0.005,160,"(8,6), 0.757","(8,8,2.00), 0.934",23.4,140.8
0.01,20,"(6,3), 0.548","(8,2,0.25), 0.559",2.0,18.4
0.01,40,"(8,4), 0.640","(8,3,1.00), 0.710",10.9,38.4
0.01,80,"(8,4), 0.640","(8,4,2.00), 0.823",28.5,70.4
0.01,160,"(8,4), 0.640","(8,8,2.00), 0.898",40.3,140.8
0.02,20,"(8,2), 0.467","(8,2,0.25), 0.498",6.7,18.4
0.02,40,"(8,3), 0.496","(8,3,1.00), 0.655",32.1,38.4
0.02,80,"(8,3), 0.496","(8,4,2.00), 0.791",59.5,70.4
0.02,160,"(8,3), 0.496","(8,6,2.00), 0.836",68.6,105.6
